INFO  - 2015-11-18 17:13:30.046; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.048; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.051; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.054; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.056; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.059; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.061; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.063; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.066; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.069; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
